j,dist
4614,1.2522422549336012
30871,1.2522498017768213
10522,1.252276872393169
35629,1.2522840046094534
11369,1.2523581866907534
46162,1.252446364800517
57394,1.2526187076329676
23636,1.2526325118845523
57194,1.2526993402322295
46332,1.25271433577536
8025,1.2527662941507562
15991,1.2528423361004466
47183,1.252869205177106
28312,1.2529059992996985
28313,1.2529428085132894
46333,1.2529552571570446
17849,1.2529582552287049
11490,1.252970706284273
39134,1.2529751892029084
47182,1.253037584400392
237,1.253118957399528
43620,1.2531328133941575
48983,1.2531519570672875
60744,1.253157475254079
55486,1.253209249360211
35553,1.2532712809595312
64172,1.2532970297444712
64173,1.2533343422028322
55487,1.253339430727053
51056,1.2533406122000066
15990,1.253369489525315
35552,1.2534489872579464
1511,1.2535082732869476
9948,1.2535213744182752
48982,1.2535318137773372
32202,1.2535381590369814
35628,1.2535392362293276
9567,1.2536331505213767
38350,1.2536341538602676
15252,1.2536790683613894
26715,1.2537204520922764
44061,1.2537512166832387
51057,1.2537771957140338
1769,1.2537815024870265
1510,1.2538535632162306
15284,1.2538641001228203
9566,1.2538850074236692
23716,1.2539097661180132
15255,1.2539642867426115
3360,1.253970708751206
15270,1.2539896327908464
36633,1.2539922130983603
44330,1.2539968687104728
72765,1.2539976917336595
32142,1.2540035999581032
43621,1.2540287469961209
49437,1.2540303590564352
67262,1.254044725149128
32143,1.2540561628655815
31170,1.2540623506308288
42297,1.254082613927126
23028,1.2541117776433366
56804,1.254147958662574
1287,1.2541598360530257
32331,1.2541853062051145
23029,1.2541947813781005
56805,1.2542012887093248
36628,1.254213246909397
36632,1.2542315048898054
44060,1.2542604527204675
1286,1.2543101741386193
50967,1.25433049812401
1768,1.2543993835187153
17983,1.2543994022742977
66632,1.2544152053356208
35751,1.254471664934448
36629,1.2544781965742506
36614,1.254479367649258
62454,1.2545152012548755
38236,1.2545295049764926
9186,1.2545364641191934
49436,1.2545529317289745
42296,1.2545698476421976
24846,1.2545839706598794
17982,1.2546377713897274
52155,1.2546380258927232
67263,1.2546447257676878
15285,1.2546530039327723
10525,1.2546697613789841
15253,1.2546725737070934
9731,1.2546904910814505
58286,1.254699663123626
58287,1.2547095985662038
42363,1.2547499745715873
52039,1.2547620333247522
64174,1.2547995688876425
10524,1.2548120776496114
32330,1.2548139705598766
52154,1.2548240146296161
57832,1.2548346393885572
38155,1.254871743853535
35750,1.25490269655026
15271,1.2549072375778898
66633,1.2549212191132255
50966,1.2549244063125689
47184,1.2549500524809483
5120,1.2549770259655275
47185,1.2550074143379857
9187,1.2550497771049278
31171,1.2550505922650625
10378,1.2550571906248194
38239,1.255072711721118
51408,1.2551150243292872
10379,1.2551467463613402
10353,1.2551623787868973
61079,1.2552535706149843
33471,1.2553239653308264
39575,1.2553562874850135
13870,1.2553577149548363
61078,1.2553725943246872
45034,1.2553755394217734
56068,1.2554317497679774
224,1.255447571506683
52038,1.2554539860727443
63473,1.255485731784665
24847,1.255509541061976
64179,1.255535338448148
25929,1.2555590590654855
56069,1.2555720457618467
50013,1.255584077017564
4269,1.2555876319721617
4130,1.2556265706843859
50012,1.255631868555339
48624,1.2556338346612121
15330,1.2556473926121041
61803,1.2557235043259818
15331,1.2557805284932257
13871,1.2557968491956875
6621,1.2558080239499598
38154,1.2558212064653287
61802,1.2558971506445922
63553,1.255900267098503
50799,1.2559245726873631
29416,1.2559780606428201
33470,1.255991631222945
4131,1.256011455652597
4128,1.2560257293178296
44580,1.2560431390005373
7087,1.256136157267835
50011,1.256149932086522
2350,1.256166202430524
69694,1.25617435142964
16638,1.2561897998898433
39574,1.2561951829011677
42307,1.2562057042043209
69007,1.256300872093805
4068,1.256348950743444
34549,1.2563708389451842
4069,1.256388574223347
69695,1.2564283536066738
69006,1.2564819631689728
57834,1.2564894877996444
4268,1.2564913102451352
23034,1.2565035897922194
42306,1.2565240674678737
50010,1.2565312959830908
64178,1.2565329547991124
5335,1.2565376106315813
67565,1.256548285555473
23035,1.2565707148330822
19296,1.256592049802658
19746,1.256641368543237
19747,1.2566774266616632
19297,1.2567084331558411
31168,1.2567263322666002
29417,1.256730200840144
57737,1.2567418088126987
33751,1.2567441970247628
2531,1.2567532622968132
38908,1.2567685607398933
70179,1.2568058850424355
58974,1.256849524163766
45827,1.256926204650226
17462,1.2569322868918194
60062,1.257039201265953
5216,1.2570491264155192
33760,1.257199543378053
70214,1.2572067905367514
45826,1.2572155499462254
28065,1.2572216674825634
58371,1.2572343231110057
57391,1.2572394815097474
70178,1.2572447987051827
16639,1.2572731800124162
6823,1.2573162970355745
2528,1.2573176038009517
6822,1.257329900198431
55698,1.2574193042936341
38909,1.2574344270163884
45501,1.2574370339368035
46386,1.2574379018735014
33750,1.257456857444426
57736,1.2574781168435933
28064,1.257480729874938
59785,1.2574986458613224
31169,1.257534003161175
5217,1.2575762869046805
11174,1.2576001234565344
67564,1.2576287910936872
49439,1.257709209286156
58370,1.2577546788061456
5796,1.2577728778169137
61348,1.2577786138152913
68157,1.2578082151920467
39804,1.2578591025428545
60063,1.2578939972021346
2245,1.2579029891389137
27171,1.2579236711656763
55699,1.2579349502028483
46672,1.257955025498039
6692,1.2579870368534274
5797,1.2580049393580321
29968,1.2580069331587678
46687,1.258007560835293
21006,1.2580095567103589
39805,1.2580257909728931
54561,1.2580282446428641
45021,1.2580972947064362
46673,1.2581139169425095
38486,1.2581576717599348
57390,1.2581654962908888
47004,1.2581782512408575
2244,1.2582403962371094
21007,1.2582554344585533
59801,1.2583532755451121
66280,1.2583742617219749
33576,1.2584112042050615
59934,1.2584307068902612
4201,1.2584913487240976
61349,1.2585118652544363
49620,1.2586195321685352
47839,1.2586565403653993
52020,1.2586619435119777
32205,1.258666176841476
2417,1.2587266984948227
32204,1.258730816525264
46686,1.2587350026785296
16423,1.2587358580003465
45020,1.2588079037607016
17425,1.258866192936553
59935,1.2588938341681575
42876,1.2589057114507363
6693,1.2589189047646268
2416,1.2589339754493298
54073,1.2589487704268996
23763,1.2589555420749436
36864,1.2590022494612791
26713,1.259051751103714
21076,1.2590550307726562
4200,1.2590766825181756
66850,1.2590996155109195
54143,1.2591527997171292
65236,1.2591570017500364
6983,1.2591687861497927
10768,1.2591886902932263
18986,1.2592323020738423
17424,1.2592473000584148
12944,1.259250848526702
62261,1.2592971529957675
66296,1.259368163280462
49802,1.2593727522434879
17980,1.2593753717392526
54072,1.2594376600055195
54142,1.2594403319115857
55484,1.259446346635805
66851,1.2594478177773816
23762,1.2594898509622072
22720,1.2595140002263927
9452,1.2595229653504771
64046,1.2595268461985258
7971,1.259558444527721
26712,1.2596178883588118
65237,1.259628436397703
18193,1.2596425092537906
55485,1.2596906203722087
64190,1.259701337034183
7970,1.2597282899991598
22722,1.2597373148789162
22723,1.2597985449913487
48985,1.2598131963759982
2739,1.2598473566133992
9453,1.259951046089172
28321,1.2599615238835031
60339,1.259978478427205
18192,1.259981262853661
8629,1.2600179427880729
28320,1.2600712822893836
47418,1.260076443693369
7974,1.2600847758245486
36775,1.260168714742576
38766,1.2601903136170205
49803,1.260205259363262
9821,1.260236102776164
48984,1.2602969331123723
29908,1.2603266083095626
45009,1.260365926332069
5025,1.2603691559168413
33089,1.2603854314016318
29568,1.2604452799651622
10342,1.2604558902693677
9820,1.2604721788323665
13550,1.2604738357902976
64191,1.260474416101562
33703,1.2604758784383854
8391,1.2605693216901463
23505,1.2606164883205822
62717,1.2606295836257755
31172,1.260661838224957
30050,1.260689680936927
42716,1.260707896897415
5024,1.2607145791775998
23504,1.2607396461206288
60338,1.26073988174862
62716,1.2607705868212746
30051,1.2608452080637
52026,1.2608614163802274
46337,1.2608615597054336
8390,1.2609296299695478
43944,1.2609323098139766
46334,1.260947482141505
42717,1.2609795601161853
13551,1.2610111020908206
27174,1.2610395371462908
27175,1.2610794943969357
41732,1.2611332422687116
42293,1.261150621615311
10343,1.2611570636642317
19806,1.2611718278954196
52593,1.2612802400236975
32103,1.2612958212246066
25953,1.2613123032547957
68841,1.2613284589558085
52558,1.2613764333378676
32217,1.261384480872143
9526,1.2614047211826258
10860,1.2614433103575193
32102,1.261455348893545
35698,1.261495240931877
46335,1.261507313735693
65204,1.261508200464664
10861,1.2615351027445345
45029,1.2615749082546317
21868,1.2616056697140194
42843,1.261611208954043
43807,1.2616159782774876
68840,1.2616210564921189
52592,1.2616323170133183
16473,1.261643881990353
6009,1.2616573696490947
44579,1.2616844253905484
65205,1.2617120296366335
6932,1.2617156030373704
31173,1.2617676273477558
39146,1.261775321217255
5154,1.2618133750066212
19807,1.2618376821863981
5155,1.2618528402219524
32216,1.261862998771803
6933,1.2618902270366932
51396,1.2619095934996027
30017,1.2619369357078707
45306,1.2619487906123026
57527,1.261956204386799
43806,1.2619890458940968
15359,1.2619904123101082
21869,1.2619912434151246
43945,1.2620154952578502
5325,1.2620340844204982
43909,1.2620625473537295
42292,1.2620697718890082
69756,1.262070934486593
9527,1.26211365252281
61248,1.2621364481191029
4132,1.2621462785443818
39150,1.262152391143518
45307,1.2621710599719935
45028,1.2621896478183632
5144,1.2621974191610228
5011,1.2622172636363804
5324,1.2622247828347672
57526,1.2622285062486136
67174,1.2622319372533164
61249,1.2622429290289006
23293,1.2623044737045792
64066,1.2623451294228216
6008,1.2623459019190506
9488,1.2623740159244112
67175,1.2624172509131066
44955,1.2624809284246423
58984,1.2624829569727691
30016,1.2624864509353055
43908,1.2625193226127012
16785,1.2625664203907365
1088,1.2625669167887217
5323,1.2625791438269665
20286,1.262581955619638
48932,1.2625855405416935
69631,1.262588774211402
48921,1.2626034592159705
23507,1.262613033270547
25925,1.2626418998607942
5010,1.2626472324304268
20287,1.2626509693170802
55428,1.2626615514203259
19881,1.2626662952418182
50022,1.262683365511426
30624,1.2627142653539787
64049,1.262722503568745
30625,1.2627603867226065
5322,1.2627700640254405
69757,1.2627924907119201
25515,1.262822770811904
1764,1.2628258618749408
50023,1.2628283838272403
25924,1.262848123234888
13557,1.2629015960026175
16784,1.2629047488432938
1089,1.262909630987611
67252,1.2629389305987249
63474,1.2629739375354163
6829,1.262975998104278
15358,1.2630023932901686
44954,1.2630363440193029
55429,1.263043188503329
980,1.2630472454368915
62294,1.2630518331190508
63475,1.2631353352279773
23292,1.2631463427207783
14787,1.2632276607141861
39142,1.2632721974830878
31358,1.2633085852006651
3160,1.2633114406598382
9529,1.263338029426689
64067,1.263343918153443
45807,1.2633534365365846
25514,1.2633596101538584
6828,1.2633980914652425
68948,1.2633995092722219
45322,1.2634046716545495
16460,1.2634680245807606
966,1.263488873895606
31359,1.2635247397564195
45323,1.2635305348381425
6832,1.2635356441574705
67563,1.2635393785380427
16461,1.263563826254009
46557,1.2635693034450624
58383,1.2636128218858456
9830,1.2636417201596446
